epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.701,1.90462,2.89981,2.08933,0.64272,0.35979,0.3519,0.12152,2.12629,3.759,2.19728,0.000661538,0.000661538,0.000661538
2,1676.09,1.85522,2.45292,2.05096,0.22292,0.16,0.09641,0.04865,2.34871,3.41146,2.66455,0.00119671,0.00119671,0.00119671
3,2753.67,1.88368,2.26317,2.05456,0.50724,0.4,0.32862,0.12313,2.10322,2.382,2.22894,0.00159989,0.00159989,0.00159989
4,3699.25,1.86112,2.11229,2.00278,0.40268,0.56,0.40276,0.10293,2.64439,2.25434,2.54574,0.001406,0.001406,0.001406
5,4681.02,1.7676,1.94467,1.93751,0.64484,0.5088,0.51576,0.15303,2.31103,2.38325,2.19159,0.001208,0.001208,0.001208
6,33001.7,1.71126,1.81971,1.89007,0.80487,0.48,0.56642,0.22683,2.12087,2.04393,1.97311,0.00101,0.00101,0.00101
7,34063.9,1.67083,1.70779,1.82817,0.97696,0.64,0.6914,0.29525,2.12032,1.61876,2.05631,0.000812,0.000812,0.000812
8,34991.8,1.62246,1.60704,1.79791,0.75493,0.52,0.66651,0.23956,2.29506,1.71072,2.22601,0.000614,0.000614,0.000614
9,36044.7,1.58829,1.50509,1.77121,0.83859,0.62396,0.69471,0.31517,2.00471,1.71291,1.95395,0.000416,0.000416,0.000416
10,37169.4,1.52072,1.4398,1.71098,0.86506,0.64,0.69755,0.22006,2.3567,1.7193,2.2146,0.000218,0.000218,0.000218
